vmag,ra,de,pmRa,pmDe,sRgbR,sRgbG,sRgbB
6.7,0.08608333,45.22917,-0.012,-0.018,0.843752,0.9954435,1.511886
6.29,0.08438889,-0.5030556,0.045,-0.06,1.360425,0.934887,0.587065
4.61,0.08891667,-5.7075,-0.009,0.089,1.325317,0.9415493,0.6245921
5.51,0.095,13.39611,0.045,-0.012,1.24511,0.9558647,0.7193206
5.96,0.1044444,58.43667,0.263,0.03,1.119825,0.9750837,0.8985121
5.7,0.1052778,-49.075,0.565,-0.038,1.043325,0.9843654,1.032307
5.59,0.1073611,64.19611,0.008,0,0.8063781,0.9946213,1.630482
6.13,0.1102222,29.02139,0.38,-0.182,1.162379,0.969053,0.8327068
6.18,0.1139167,-23.1075,0.1,-0.045,0.9761498,0.9905277,1.16955
6.19,0.1217222,-17.38639,-0.018,0.036,0.8715355,0.9953564,1.430662
6.43,0.1289167,-2.548889,0.027,-0.002,0.7686149,0.9925749,1.762392
5.94,0.1296667,-22.50889,0.052,-0.044,0.8715355,0.9953564,1.430662
5.68,0.1343056,-33.52944,-0.037,0,1.372211,0.932602,0.5749471
6.07,0.1366944,-2.447778,0.009,-0.003,1.526972,0.9008257,0.4334489
2.06,0.1398056,29.09056,0.136,-0.163,0.7785514,0.9932398,1.726427
5.99,0.1381667,-8.823889,-0.052,-0.033,1.325317,0.9415493,0.6245921
6.19,0.1447222,36.62667,-0.1,-0.145,1.023699,0.9863767,1.070307
6.06,0.1426111,-17.5775,0,-0.025,1.702462,0.8610749,0.3099481
6.23,0.1478333,25.46278,0.114,0.031,1.28489,0.9489328,0.6706696
6.01,0.1556111,79.71472,0.102,-0.027,0.8921627,0.9949391,1.373863
2.27,0.1529722,59.14972,0.525,-0.181,0.957758,0.9918342,1.210907
5.53,0.1506667,18.21194,0.137,-0.024,1.325317,0.9415493,0.6245921
6.33,0.1506667,-54.00194,0.051,0.016,1.156997,0.9698464,0.8407252
5.42,0.1558333,-27.98778,0.072,-0.004,0.9949045,0.9890186,1.129132
3.88,0.1568611,-45.7475,0.124,-0.181,1.319505,0.9426305,0.6310211
5.51,0.1673056,11.14556,0.041,-0.003,0.792227,0.9940051,1.678416
5.03,0.1720278,46.07222,0.008,0,0.9854823,0.9897984,1.149222
6.74,0.1749167,57.16556,0.023,0.006,0.788763,0.9938273,1.690417
5.84,0.1718889,-5.248611,0.036,-0.033,1.290627,0.9479049,0.663932
5.28,0.16725,-82.22389,-0.029,-0.02,1.331141,0.9404596,0.6182135
5.85,0.1785556,-12.58,0.15,-0.038,1.307917,0.9447668,0.6440313
6.64,0.1773889,-73.22444,0.123,0.016,0.9715175,0.9908733,1.179802
4.89,0.18775,-15.46806,-0.077,-0.268,1.028574,0.9858926,1.060716
5.41,0.1928889,-27.79972,0.01,0.016,1.503099,0.9059449,0.4531172
5.25,0.1955556,-35.13306,0.173,0.119,1.004415,0.9881883,1.109282
6.16,0.19975,48.1525,0.058,0.017,1.568927,0.8916483,0.4006839
5.25,0.2027778,-17.93833,0.056,-0.031,1.586981,0.8876316,0.387255
6.73,0.214,37.69333,0.028,-0.012,0.7718961,0.9928048,1.750413
2.83,0.2206111,15.18361,0.003,-0.012,0.7405209,0.9901739,1.869259
6.3,0.2233333,26.98722,-0.008,-0.047,1.10937,0.9764765,0.9155611
5.72,0.2252222,41.03528,-0.123,-0.148,0.9442073,0.9926812,1.242528
5.94,0.2283611,-26.02194,0.026,-0.069,1.629291,0.8780689,0.3572699
6.31,0.2289444,-26.28472,-0.02,0.012,1.586981,0.8876316,0.387255
6.25,0.2339722,33.20611,-0.006,-0.018,0.8136278,0.9948701,1.606589
4.8,0.2433889,20.20667,0.093,0,1.641429,0.8752886,0.3490357
5.12,0.241,-7.780556,0.059,0.004,1.671872,0.8682461,0.3290678
5.77,0.2220556,-84.99417,0.004,0.008,1.733201,0.853778,0.2916365
4.44,0.244,-18.93278,-0.024,-0.067,1.696332,0.8625193,0.3137062
6.24,0.2489167,22.28417,0.065,-0.011,0.8136278,0.9948701,1.606589
5.79,0.2496667,8.820833,0.097,-0.028,0.9442073,0.9926812,1.242528
5.75,0.2484722,-9.569722,0.028,-0.011,0.788763,0.9938273,1.690417
6.45,0.2519444,31.53583,0.035,-0.005,1.302141,0.9458218,0.6506131
6.35,0.2529444,27.28306,0.021,-0.031,0.8099886,0.9947508,1.618527
6.17,0.2495,-34.90444,0.073,-0.023,1.503099,0.9059449,0.4531172
6.35,0.2705556,76.95083,0.018,-0.002,0.792227,0.9940051,1.678416
6.15,0.2726667,43.59472,0.043,-0.03,0.836055,0.9953655,1.535403
5.67,0.2691389,-31.44639,0.122,-0.03,1.509061,0.9046737,0.4481333
6.49,0.2653333,-75.91139,-0.013,0.006,1.302141,0.9458218,0.6506131
6.11,0.2761389,8.24,-0.02,-0.019,1.256405,0.9539321,0.7051516
5.74,0.2825278,61.53333,-0.001,-0.001,1.233874,0.9577577,0.733708
6.47,0.2784722,-20.21056,0.012,-0.014,0.7853289,0.9936404,1.702421
5.89,0.2858611,47.9475,0.008,0,0.7853289,0.9936404,1.702421
4.61,0.2848611,38.68167,-0.05,-0.019,0.8398899,0.9954101,1.523629
6.77,0.2802778,-78.78056,0.077,-0.043,1.014014,0.9873076,1.089673
6.14,0.2952778,51.43306,-0.005,-0.004,0.7718961,0.9928048,1.750413
6.45,0.2923889,-19.05111,0.015,0.003,0.9715175,0.9908733,1.179802
6.17,0.2965833,1.688889,0.095,0.012,1.267758,0.9519608,0.6911988
4.52,0.3054722,36.78528,-0.063,-0.041,0.836055,0.9953655,1.535403
6.05,0.3047778,11.20583,-0.036,-0.038,1.319505,0.9426305,0.6310211
6.11,0.3116944,43.79111,0.02,-0.003,0.788763,0.9938273,1.690417
5.87,0.3106389,31.51722,0.058,-0.006,0.8136278,0.9948701,1.606589
6.46,0.3116111,-8.052778,0.413,-0.139,1.12508,0.9743699,0.8900779
6.33,0.3118333,-43.23528,0.056,0.012,1.42594,0.9219321,0.5222255
3.56,0.3238056,-8.823889,-0.014,-0.036,1.431855,0.9207385,0.5166105
6.33,0.3282222,40.72972,-0.026,-0.01,1.407792,0.9255665,0.539732
6.52,0.3347778,48.86528,0.005,-0.017,1.302141,0.9458218,0.6506131
4.23,0.3345278,-64.87472,1.705,1.164,1.073387,0.9809783,0.977142
5.9,0.3401111,30.93583,0.021,0.004,0.781925,0.9934445,1.714426
5.79,0.3459722,32.91139,-0.026,-0.014,1.653589,0.8724872,0.3409441
5.37,0.3433056,8.190278,-0.002,0.008,1.503099,0.9059449,0.4531172
6.56,0.3484722,10.97694,-0.046,-0.028,1.302141,0.9458218,0.6506131
5.18,0.3520278,37.96861,0.06,-0.04,0.9949045,0.9890186,1.129132
5.51,0.3441667,-69.625,-0.007,0,0.799244,0.9943325,1.65443
5.18,0.3586667,-28.98167,0.04,-0.074,1.302141,0.9458218,0.6506131
5.12,0.3628611,-20.05778,0.071,-0.005,1.795138,0.8388184,0.2572891
6.23,0.37375,13.4825,0.062,0.021,1.431855,0.9207385,0.5166105
5.97,0.3579444,-77.42694,0.002,-0.01,1.538936,0.8982318,0.4238772
6.39,0.3810556,-12.20944,0.394,0.061,1.114588,0.9757859,0.9070064
6.55,0.3868333,-31.03611,0.029,-0.003,0.8172955,0.9949792,1.594669
7.39,0.4005556,38.57722,-0.007,-0.023,1.889207,0.8155105,0.2109612
5.57,0.4043333,52.02,0.013,-0.004,0.7752084,0.9930265,1.738424
5.4,0.4131944,61.83111,0.012,-0.001,0.8172955,0.9949792,1.594669
6.07,0.40825,-2.219167,-0.033,-0.044,1.431855,0.9207385,0.5166105
5.74,0.4184444,53.04694,0.023,-0.002,0.7957208,0.9941736,1.666419
5.77,0.4233889,1.939722,-0.013,-0.015,1.222698,0.9596106,0.7483163
2.8,0.4291944,-77.25417,2.215,0.324,1.093832,0.9784774,0.941588
2.39,0.4380556,-42.30611,0.203,-0.396,1.354547,0.9360177,0.5931965
3.94,0.4367222,-43.68,0.109,0.029,0.8838352,0.9951422,1.396449
6.19,0.4437222,-0.04972222,0.073,-0.001,1.24511,0.9558647,0.7193206
5.98,0.4540833,-25.54722,0.036,-0.019,1.319505,0.9426305,0.6310211
5.06,0.4674722,17.89306,0.117,0.021,1.690208,0.8639587,0.3174968
5.17,0.4704722,44.39444,0.089,-0.016,0.8284677,0.9952433,1.559035
4.81,0.4654722,-33.00722,-0.019,-0.052,1.68409,0.8653929,0.3213205
6.06,0.4701944,16.445,0.019,-0.015,1.647506,0.8738905,0.3449722
6.04,0.47225,10.18972,0.046,-0.207,0.9996489,0.9886097,1.119177
6.43,0.4725278,-20.335,-0.116,-0.114,1.078469,0.9803711,0.968162
5.43,0.474,-39.915,0.13,-0.036,1.635357,0.8766814,0.3531348
6.26,0.4823889,36.9,-0.011,0.003,1.256405,0.9539321,0.7051516
6.26,0.4786389,-50.53278,0.15,-0.002,1.354547,0.9360177,0.5931965
6.21,0.5152778,77.01944,0.337,-0.038,1.211584,0.9614226,0.7631477
5.94,0.5055278,59.97722,0.017,-0.012,0.8209915,0.9950778,1.582768
5.23,0.5020278,29.75167,0.041,-0.054,0.9134204,0.9942164,1.318236
6.14,0.49775,-14.86417,0.144,-0.032,0.9715175,0.9908733,1.179802
6.57,0.4969167,-32.11667,-0.004,-0.054,1.503099,0.9059449,0.4531172
